,sexratio,pop_perhouse,house_cnt
애월읍0,2.376375295,14815.0,106.9129989
애월읍1,2.380619582,14881.0,107.0323319
애월읍2,2.377032724,14943.0,107.1655955
애월읍3,2.37511662,15006.0,107.3408778
애월읍4,2.372270525,15067.0,107.1569271
애월읍5,2.368848669,15139.0,107.007013
애월읍6,2.365417488,15210.0,107.0819011
애월읍7,2.360963792,15273.0,107.1707259
애월읍8,2.359746951,15333.0,107.2178323
애월읍9,2.355446249,15451.0,107.3177894
애월읍10,2.349880883,15531.0,107.4903294
애월읍11,2.348518923,15563.0,107.352167
애월읍12,2.351061782,15587.0,107.7409533
애월읍13,2.345910745,15663.0,107.3405185
애월읍14,2.336207443,15773.0,107.5506767
애월읍15,2.33823343,15782.0,107.4529122
애월읍16,2.33838671,15831.0,107.2232158
애월읍17,2.333019046,15909.0,107.3993096
애월읍18,2.331888428,15918.0,107.3326432
애월읍19,2.326398897,15959.0,107.3375503
애월읍20,2.26,16012.0,107.33
애월읍21,2.321119212,16047.0,107.1907793
애월읍22,2.3169959,16098.0,106.9434912
애월읍23,2.310524036,16163.0,106.8683985
애월읍24,2.31,16149.0,106.91
애월읍25,2.31,16233.0,107.04
애월읍26,2.3,16284.0,106.98
애월읍27,2.29,16335.0,106.91
애월읍28,2.28,16493.0,106.6
애월읍29,2.27,16568.0,106.62
애월읍30,2.27,16623.0,106.44
애월읍31,2.27,16699.0,106.39
애월읍32,2.26,16715.5,106.33
애월읍33,2.26,16732,106.2724215
애월읍34,2.2,16779,106.4
애월읍35,2.19,16842,106.36
애월읍36,2.19,16867,106.23
애월읍37,2.19,16911,105.71
애월읍38,2.19,16911,105.44
애월읍39,2.19,16967,105.17
애월읍40,2.18,17044,105.11
애월읍41,2.18,17111,104.98
애월읍42,2.18,17141,104.98
애월읍43,2.18,17176,105.02
성산읍0,2.028299392,7562.0,109.1925805
성산읍1,2.029951181,7579.0,109.148994
성산읍2,2.023900197,7615.0,109.17481
성산읍3,2.021198639,7642.0,109.4088937
성산읍4,2.018006263,7664.0,109.4812407
성산읍5,2.016790316,7683.0,109.0246864
성산읍6,2.013648772,7693.0,109.2247434
성산읍7,2.006864396,7721.0,109.0246864
성산읍8,2.007372914,7731.0,109.010101
성산읍9,2.004767427,7761.0,109.4078062
성산읍10,2.001418623,7754.0,109.2073335
성산읍11,1.99277699,7753.0,109.7190172
성산읍12,1.983547558,7780.0,109.7594128
성산읍13,1.98230996,7801.0,110.2515296
성산읍14,1.976403061,7840.0,110.2727643
성산읍15,1.969762419,7871.0,109.9390657
성산읍16,1.963728599,7885.0,109.8387315
성산읍17,1.964385298,7890.0,109.9850969
성산읍18,1.964488816,7913.0,109.6708929
성산읍19,1.962874402,7946.0,109.8062954
성산읍20,1.955639098,7980.0,109.7016931
성산읍21,1.950262434,8002.0,109.7580645
성산읍22,1.954164058,7985.0,109.4215542
성산읍23,1.955379588,7956.0,109.7478765
성산읍24,1.951984877,7935.0,109.7927672
성산읍25,1.944318468,7938.0,109.7295828
성산읍26,1.938953488,7912.0,110.1219011
성산읍27,1.936914112,7894.0,110.2007149
성산읍28,1.92958102,7924.0,109.9697885
성산읍29,1.925991189,7945.0,109.7888676
성산읍30,1.918895166,7965.0,109.4272403
성산읍31,1.917533526,7979.0,108.8167053
성산읍32,1.912842316,7997.0,109.2040481
성산읍33,1.91,"7,993",109.42
성산읍34,1.91,"8,034",109.61
성산읍35,1.89,"8,133",109.57
성산읍36,1.89,"8,151",109.43
