,date,emd_nm_2term,emd_nm,clustered,em_g_interpolated,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,area_km2,Deri_resd_density,sexratio,pop_perhouse,house_cnt,corona_updown_ratio,corona_infec,vac_1st,vac_2nd,mon,tue,wed,tru,fri,sat,sun,day_cnt,em_cnt,pay_amt,resd_pop_cnt내국인남성제주,resd_pop_cnt내국인여성제주,visit_pop_cnt내국인남성그외,visit_pop_cnt내국인남성제주,visit_pop_cnt내국인여성그외,visit_pop_cnt내국인여성제주,work_pop_cnt내국인남성그외,work_pop_cnt내국인남성제주,work_pop_cnt내국인여성그외,work_pop_cnt내국인여성제주,resd_pop_cnt장기해외제주,visit_pop_cnt장기해외그외,visit_pop_cnt장기해외제주,work_pop_cnt장기해외그외,work_pop_cnt장기해외제주,visit_pop_cnt단기해외,foreign_pop남성,foreign_pop여성,resid_reg_pop남성,resid_reg_pop여성,total_pop남성,total_pop여성,use_amt간식,use_amt농축수산물,use_amt마트/슈퍼마켓,use_amt배달,use_amt식품,use_amt아시아음식,use_amt양식,use_amt주점및주류판매,use_amt패스트푸드,use_amt한식,min_temp,max_temp,mean_hum,mean_prec,resd_pop,visit_pop,work_pop,resd_per_visit,use_amt,resd_pop_cnt내국인제주,visit_pop_cnt내국인그외,visit_pop_cnt내국인제주,work_pop_cnt내국인그외,work_pop_cnt내국인제주,foreign_pop,resid_reg_pop,total_pop,foreign_pop_gender_ratio,total_pop_gender_ratio,resd_pop_cnt_gender_ratio,visit_pop_cnt_gender_ratio,work_pop_cnt_gender_ratio,resd_pop_cnt기타,resd_pop_cnt아메리카,resd_pop_cnt장기_아시아,resd_pop_cnt장기_아프리카,resd_pop_cnt장기_오세아니아,resd_pop_cnt_장기_유럽,resd_pop_cnt_장기_중국,visit_pop_cnt_장기_기타,visit_pop_cnt_장기_아메리카,visit_pop_cnt_장기_아시아,visit_pop_cnt_장기_아프리카,visit_pop_cnt_장기_오세아니아,visit_pop_cnt_장기_유럽,visit_pop_cnt_장기_중국,work_pop_cnt_장기_기타,work_pop_cnt_장기_아메리카,work_pop_cnt_장기_아시아,work_pop_cnt_장기_아프리카,work_pop_cnt_장기_오세아니아,work_pop_cnt_장기_유럽,work_pop_cnt_장기_중국,visit_pop_cnt_단기_기타,visit_pop_cnt_단기_아메리카,visit_pop_cnt_단기_아시아,visit_pop_cnt_단기_중국,개별여행,패키지,친지방문,codiv_trend,em_area_cd
0,2018-03-01,건입동3,건입동,1,46422450,1,0,0,0,0,0,0,0,0,0,0,0,2.53,1950981.42,2.319148936,4324,107.8472959,0,0,0,0,5,5,5,4,4,4,4,31,18416,1364804,2447350.787,2488632.206,923407.4719,1835007.291,746184.8854,1434297.375,49959.236,392151.0535,19237.5639,242587.4646,101804.4428,56042.2763,59224.5982,3720.5284,13223.3567,78223.0796,146,82,5085,4715,5231,4797,52714107,180535251,613458055,11571838,279219424,69893850,37051483,14468297,55110922,705583595,-2,17,63.62437323,1.057324841,5037787.436,5132386.977,720879.2031,0.98156812,2019606822,4935982.993,1669592.357,3269304.666,69196.7999,634738.5181,228,9800,10028,1.780487805,1.090473212,0.983412005,1.265048019,1.688571532,1082.1374,1591.5801,69828.8307,0,0,0,29301.8946,1725.2733,5050.6894,69797.0066,0,221.3058,1805.7043,36666.8951,0,272.3,11568.789,0,0,0,5102.7961,6180.7434,996.4937,31545.5744,39500.2681,931530,29762,78741,0,29
1,2018-04-01,건입동4,건입동,1,42438700,0,1,0,0,0,0,0,0,0,0,0,0,2.53,1804155.319,2.316105215,4334,107.7476715,0,0,0,0,4,4,4,4,4,4,4,28,17491,1284216,2269540.354,2294972.603,743883.966,1711105.807,657738.0097,1331337.058,26019.5336,319865.4546,22755.5317,212984.3168,83297.225,38202.1816,58812.1758,615.0797,12627.0647,83742.4895,142,82,5090,4724,5232,4806,50334436,240018758,638040404,10053449,308272592,57923517,42709504,17200575,54642962,584133788,-1,19,60.52244208,1.455357143,4647810.182,4624821.688,594866.9811,1.004970677,2003329985,4564512.957,1401621.976,3042442.865,48775.0653,532849.7714,224,9814,10038,1.731707317,1.088639201,0.988918278,1.234236864,1.46723174,331.0252,1111.9064,61868.0352,0,0,0,19986.2582,1470.66,4031.4774,53722.1883,992.3496,373.0026,1891.6923,34532.9872,113.6805,175.9009,7493.5871,0,0,0,5458.9759,8011.5671,590.1797,22955.2238,52185.5189,731347,31465,50344,0,29
2,2018-05-01,건입동5,건입동,1,44893300,0,0,1,0,0,0,0,0,0,0,0,0,2.53,1839574.849,2.31222556,4327,107.6629166,0,0,0,0,4,4,4,5,5,5,4,31,19396,1387853,2292548.137,2361576.23,817301.5759,1824945.386,636992.156,1517663.651,52077.2497,374917.8625,26922.3318,253289.7884,94945.6814,59747.8358,48577.2932,2749.3824,15211.5029,112258.8544,141,81,5072,4711,5213,4792,50376962,137375749,571735294,13885371,351333953,76664916,47404002,15222480,59924322,712431597,2,21,68.43068875,1.436757216,4749070.048,5017486.752,725168.1177,0.946503754,2036354646,4654124.367,1454293.732,3342609.037,78999.5815,628207.6509,222,9783,10005,1.740740741,1.087854758,0.97077033,1.22629654,1.523828134,889.0066,1700.3607,69555.3261,0,0,0,22800.988,1789.7642,3865.2773,59622.3491,12.4482,443.5207,1867.9287,40723.8408,0,200.4554,11661.5381,0,0,0,6098.8918,22796.22,5022.8399,31508.2004,52931.5941,833785,47396,54840,0,29
3,2018-06-01,건입동6,건입동,1,48187900,0,0,0,1,0,0,0,0,0,0,0,0,2.53,1749564.896,2.314998844,4327,107.4607885,0,0,0,0,5,4,4,4,4,4,5,30,19179,1268331,2190153.756,2236245.431,909957.6209,1817006.085,674337.3796,1441099.861,35034.077,374921.978,30216.4058,301834.9757,86144.4468,90455.9371,55847.3954,8724.4724,6100.1997,151971.7736,143,86,5070,4718,5213,4804,52984853,188776498,609269434,12702957,369806863,81011184,52559880,17627344,57436255,774520912,7,24,66.61486486,1.522807018,4512543.634,5140676.053,756832.1086,0.87781132,2216696180,4426399.187,1584295.001,3258105.946,65250.4828,676756.9537,229,9788,10017,1.662790698,1.085137386,0.979388812,1.289078047,1.234616321,915.011,2549.4835,56708.8775,0,0,0,25971.0748,1933.4278,4171.8073,91777.473,44.6929,105.0553,2696.2147,45574.6615,0,117.884,8065.4003,0,0,0,6641.3878,20536.2366,4226.9123,48464.1053,78744.5194,716499,218246,28582,0,29
4,2018-07-01,건입동7,건입동,1,57478250,0,0,0,0,1,0,0,0,0,0,0,0,2.53,1797045.381,2.319316081,4328,107.1881607,0,0,0,0,4,5,5,5,4,4,4,31,21277,1341494,2252486.134,2294038.681,895494.8056,1929207.585,663142.6217,1547926.734,56603.6559,366219.5284,23754.4068,312258.0163,102087.5935,63555.8751,55648.7879,11086.2173,5017.3811,148825.1216,148,90,5070,4730,5218,4820,62435197,159329150,645346953,14671622,398390363,89566934,41218256,18172935,61542364,812586954,12,30,71.30448997,1.36417657,4648612.409,5303801.531,774939.2058,0.876468017,2303260728,4546524.815,1558637.427,3477134.319,80358.0627,678477.5447,238,9800,10038,1.644444444,1.082572614,0.981886728,1.277527719,1.258355808,596.4154,2980.9931,70845.6728,0,0,0,27664.5122,2861.1231,6422.6137,66279.4868,0,252.096,2799.0714,40590.272,0,147.4836,10479.1996,0,0,0,5476.9152,14156.2986,2178.8377,48886.6699,83603.3154,815996,191777,41241,0,29
5,2018-08-01,건입동8,건입동,1,52553750,0,0,0,0,0,1,0,0,0,0,0,0,2.53,1730078.656,2.321990741,4320,107.1141224,0,0,0,0,4,4,4,4,5,5,4,30,23311,1439810,2159482.802,2217616.197,804965.6066,1897674.099,624545.0667,1539218.718,44898.6242,372042.1997,17994.7055,283322.9068,104916.7113,80445.4903,58423.6032,4434.3621,13210.6305,189059.5962,153,96,5059,4723,5212,4819,52924937,193016025,668052501,21360648,362702209,77698988,37997196,16318302,61144603,744740223,18,32,77.11824324,1.590350877,4482015.71,5194332.18,735903.4288,0.862866593,2235955632,4377098.999,1429510.673,3436892.817,62893.3297,655365.1065,249,9782,10031,1.59375,1.081552189,0.973785637,1.249045633,1.383725368,443.9646,2762.8687,72842.1032,0,0,0,28867.7748,2843.9336,5566.6575,71161.4465,60.8485,334.0762,3648.055,55254.0762,0,155.9924,13731.5214,0,0,0,3757.4788,20252.1919,3677.3518,64565.3661,100564.6864,935068,46173,77419,0,29
6,2018-09-01,건입동9,건입동,1,49888000,0,0,0,0,0,0,1,0,0,0,0,0,2.53,1781965.806,2.32406764,4317,106.8783069,0,0,0,0,5,5,4,4,4,4,5,31,28626,1717202,2232995.39,2275378.098,846118.9486,1812138.135,622054.6567,1421732.166,42724.985,340908.961,29673.1458,255229.0756,153264.9771,90504.6934,70587.8629,9465.5517,6922.0867,139404.6412,160,98,5050,4725,5210,4823,56982999,192395954,686045562,19742655,368772384,78973409,47427354,15918162,65987284,772030462,21,34,78.7412816,0.954584041,4661638.465,5002541.104,684923.8058,0.931854105,2304276225,4508373.488,1468173.605,3233870.301,72398.1308,596138.0366,258,9775,10033,1.632653061,1.080240514,0.981373334,1.300652815,1.346545998,579.5642,1661.1253,98684.3253,0,0,0,52339.9623,2404.8153,7080.046,113253.0543,0,444.6512,2785.0953,35124.8942,45.5268,137.956,12631.6873,0,0,0,3572.4683,17639.0465,3160.5635,32301.8808,86303.1504,922316,43148,64040,0,29
7,2018-10-01,건입동10,건입동,1,45417700,0,0,0,0,0,0,0,1,0,0,0,0,2.53,1806485.224,2.328607948,4303,106.782535,0,0,0,0,4,4,5,5,5,4,4,31,26842,1569931,2237514.042,2332893.575,857513.2476,1777073.275,666024.6435,1406205.224,44843.3407,271764.0757,19189.4514,193466.4772,160016.8948,75708.1067,66174.6456,13886.0447,12758.6957,192700.7886,163,101,5038,4718,5201,4819,56606052,171084699,718361906,17065714,424020058,84054594,40739390,15965586,59538756,761836848,24,34,75.66586748,2.213497453,4730424.512,5041399.931,555908.0854,0.938315662,2349273603,4570407.617,1523537.891,3183278.499,64032.7921,465230.5529,264,9756,10020,1.613861386,1.079269558,0.959115352,1.271377545,1.488824781,397.0376,4335.1335,103788.3342,0,0,0,51496.3895,2484.2309,3909.765,101262.8422,31.3919,453.548,4042.602,29698.3723,0,0,21908.0746,0,0,0,4736.6658,22967.0173,2118.2928,45556.3318,122059.1467,1038643,29427,15737,0,29
8,2018-11-01,건입동11,건입동,1,42954200,0,0,0,0,0,0,0,0,1,0,0,0,2.53,1727442.047,2.329680578,4289,106.8239796,0,0,0,0,4,4,4,4,4,5,5,30,25510,1490285,2135683.886,2234744.493,807709.2164,1909725.379,639824.4209,1483671.875,33753.7879,229645.3196,28964.0659,209373.0852,148790.022,91179.7264,96683.088,5062.8623,17393.7178,218343.7696,164,99,5025,4704,5189,4803,55973762,277344888,633397317,19093566,412118446,71727244,36734705,19365040,57746510,759892270,17,30,71.81306306,1.639912281,4519218.401,5247137.475,524192.8387,0.861273108,2343393748,4370428.379,1447533.637,3393397.254,62717.8538,439018.4048,263,9729,9992,1.656565657,1.080366438,0.955672513,1.279698298,1.105153377,0,2443.2775,101770.9123,0,0,1901.3861,42674.4461,3673.7846,7402.2696,124772.0396,54.6568,771.931,3909.9095,47278.2233,135.4,0,19337.4644,0,0,0,2983.7157,29210.2029,8708.1697,54350.8759,126074.5211,880738,65658,67365,0,29
9,2018-12-01,건입동12,건입동,1,47652200,0,0,0,0,0,0,0,0,0,1,0,0,2.53,1799772.172,2.335288597,4262,106.6893907,0,0,0,0,5,5,5,4,4,4,4,31,23042,1426422,2222596.221,2330827.374,817785.578,1749866.415,587943.6287,1447476.912,52551.2971,310489.7893,22531.0373,241912.5642,141498.0913,68481.6904,62535.3938,3601.1609,15877.063,263845.4196,155,96,5008,4694,5163,4790,53607680,180050980,626231002,23044805,420487471,72998106,44128575,13791280,59167443,738046473,11,25,62.39864865,2.707555178,4694921.686,4997935.037,646962.9118,0.939372291,2231553815,4553423.595,1405729.207,3197343.327,75082.3344,552402.3535,251,9702,9953,1.614583333,1.077870564,0.95356535,1.26148476,1.37284882,183.1168,1930.0231,96461.2755,0,0,714.8121,42208.8638,2153.7247,6075.8995,78121.5883,349.432,492.0525,3335.0901,40489.2971,0,0,14123.7392,0,0,0,5354.4847,38402.0413,8344.6579,50890.7792,166207.9412,868257,136307,84105,0,29
