emd_nm,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01
건입동,45646550.0,42953550.0,46422450.0,42438700.0,44893300.0,48187900.0,57478250.0,52553750.0,49888000.0,45417700.0,42954200.0,47652200.0,46571200.0,46934900.0,43272850.0,41103100.0,45366000.0,47155800.0,54400500.0,50759250.0,47534600.0,40734600.0,40990100.0,43076900.0,45356150.0,40314100.0,40335450.0,36668950.0,40943550.0,40283450.0,46323350.0,45467600.0,35693200.0,36567550.0,35796000.0,37884150.0,36737750.0,29397850.0,34167750.0,35386850.0,38047500.0,36493300.0
구좌읍,,,,,,,,,,,,,,,,,,,,,,,2720350.0,11540750.0,21059800.0,19992650.0,22170750.0,21849950.0,27501450.0,25651800.0,37079550.0,41169850.0,31084150.0,31478700.0,30118550.0,26978450.0,25143650.0,26678900.0,30919350.0,33131350.0,34451200.0,37807150.0
남원읍,42437700.0,37088050.0,42988350.0,42703500.0,42616750.0,42287450.0,49758400.0,49571700.0,45419400.0,44434300.0,45008000.0,48961900.0,45272000.0,27809150.0,17810750.0,16786800.0,45550300.0,58575550.0,64063450.0,66347550.0,57377000.0,57174300.0,55376450.0,60409100.0,68767000.0,61501550.0,62658150.0,59824450.0,63544800.0,63109150.0,67019150.0,71615800.0,56561100.0,57684950.0,53573900.0,60576700.0,56595100.0,56178800.0,62602150.0,61957700.0,59816600.0,62927050.0
노형동,265018400.0,243744900.0,268625650.0,248898350.0,259232500.0,272193365.0,327483750.0,306231800.0,259310550.0,244370750.0,246249750.0,273200900.0,260492900.0,251290500.0,249789350.0,237397550.0,249305400.0,258025550.0,295221200.0,285216650.0,253510600.0,223797811.0,230736200.0,247186350.0,234382600.0,241766400.0,255138700.0,226073450.0,249341150.0,226997876.0,278924650.0,290691050.0,232960150.0,232088700.0,231329350.0,255413000.0,247444300.0,227399950.0,232733500.0,212851000.0,227061100.0,239069250.0
대륜동,57612600.0,51722150.0,57214850.0,55609050.0,53686150.0,52926700.0,63629950.0,60656200.0,50863500.0,48485050.0,50041200.0,54002100.0,52272200.0,41752800.0,35447200.0,31985850.0,44419200.0,45993650.0,61582250.0,60755300.0,52395650.0,49536650.0,50189350.0,55227750.0,57458199.0,53111950.0,56525400.0,51090800.0,57743441.0,53387563.0,49049300.0,48610200.0,38982000.0,37333600.0,36899550.0,42350750.0,44229050.0,41473600.0,45509750.0,44380900.0,46104350.0,46745900.0
대정읍,38885550.0,36731400.0,43941150.0,41431100.0,43391800.0,44202200.0,50247200.0,53799900.0,50900300.0,47706650.0,49818000.0,52109450.0,59920500.0,64507450.0,74448950.0,76326749.0,89408798.0,94718850.0,99189650.0,105859200.0,51079250.0,77633150.0,99774700.0,102687000.0,104173150.0,97979349.0,103538750.0,95039599.0,110405348.0,103177347.0,99259041.0,108944848.0,92630549.0,96266900.0,100047750.0,107058050.0,105314800.0,99042750.0,105467100.0,101782450.0,113929800.0,109850800.0
대천동,53858550.0,44956800.0,49992600.0,42731250.0,43830200.0,45078650.0,53081150.0,52218200.0,45676250.0,44132850.0,43982200.0,47963050.0,45113300.0,36020500.0,29641700.0,28034650.0,41796850.0,46918200.0,62889962.0,62450130.0,55161400.0,51590000.0,53151631.0,53564700.0,58420100.0,53765750.0,57795350.0,51288700.0,55578850.0,54499299.0,56585581.0,66506000.0,56779450.0,57481400.0,57841350.0,62836650.0,62019900.0,56333000.0,59499550.0,53705700.0,58341550.0,56178400.0
도두동,14694200.0,14004850.0,15804550.0,14904200.0,15476250.0,16682350.0,19566250.0,18073950.0,16785750.0,16677600.0,15927400.0,16824600.0,15314350.0,14416750.0,15020400.0,15270900.0,16476700.0,16892650.0,20124150.0,20959850.0,18552500.0,18124000.0,18902350.0,17385050.0,18797900.0,16045750.0,16070150.0,14195400.0,16621200.0,16569750.0,20972600.0,21004750.0,16956300.0,18218650.0,18714300.0,17619050.0,17814850.0,15402250.0,17504100.0,17377150.0,19663550.0,19733350.0
동홍동,118701000.0,113812050.0,117711450.0,100217900.0,100885000.0,104634500.0,125812450.0,116500150.0,100407800.0,96178300.0,101432950.0,109345600.0,83674100.0,57549400.0,34358750.0,32622800.0,81200750.0,103689750.0,135774149.0,134502400.0,125995299.0,114124900.0,116633800.0,123632700.0,132288450.0,122315350.0,122303100.0,107296750.0,120417978.0,121853705.0,114230800.0,115116700.0,98116600.0,93397850.0,88411450.0,106031300.0,107302450.0,103601250.0,101916400.0,93011250.0,94027400.0,86524400.0
봉개동,10390450.0,9991650.0,10577250.0,10487400.0,11513550.0,11721950.0,14849800.0,14493600.0,13159300.0,12044850.0,12438750.0,15268450.0,15822450.0,15840150.0,15534700.0,15217800.0,16219600.0,16879500.0,20094100.0,17698900.0,16732150.0,14864800.0,15031050.0,15966250.0,16561850.0,15622400.0,15780450.0,14598650.0,15886600.0,16575149.0,18891000.0,19456900.0,15629750.0,15425650.0,14457800.0,15685200.0,15180900.0,12899650.0,13873900.0,13278500.0,15601950.0,16048700.0
