emd_nm,date,em_cnt,em_g,pay_amt,resd_pop_cnt내국인남성제주,resd_pop_cnt내국인여성제주,visit_pop_cnt내국인남성그외,visit_pop_cnt내국인남성제주,visit_pop_cnt내국인여성그외,visit_pop_cnt내국인여성제주,work_pop_cnt내국인남성그외,work_pop_cnt내국인남성제주,work_pop_cnt내국인여성그외,work_pop_cnt내국인여성제주,resd_pop_cnt장기해외제주,visit_pop_cnt장기해외그외,visit_pop_cnt장기해외제주,work_pop_cnt장기해외그외,work_pop_cnt장기해외제주,visit_pop_cnt단기해외,foreign_pop남성,foreign_pop여성,resid_reg_pop남성,resid_reg_pop여성,total_pop남성,total_pop여성,use_amt간식,use_amt농축수산물,use_amt마트/슈퍼마켓,use_amt배달,use_amt부페,use_amt식품,use_amt아시아음식,use_amt양식,use_amt주점및주류판매,use_amt패스트푸드,use_amt한식
외도동,2018-01-01,40581,95864700,2864007,2316753.36,2373286.521,346640.2261,1310281.074,314815.2713,1205875.549,18235.7032,165728.4935,14969.5574,141639.7642,38272.5212,7947.4479,28823.7064,1292.12,1774.8341,10829.4883,120,157,10483,10345,10603,10502,121859672,121858394,1713316949,11168777,4294286,426542357,158129005,89930185,28815808,144019955,1404384684
외도동,2018-02-01,37306,88582050,2648170,2128523.374,2177315.811,300597.4891,1221800.385,273389.2424,1119265.251,21294.4481,110507.055,8332.9828,113872.7348,23781.6447,6212.8734,28518.1322,0,702.0607,9970.8103,117,155,10520,10350,10637,10505,112153150,149838990,1663049197,8748455,1868469,420577262,137670615,78887598,21960990,150848091,1162494636
외도동,2018-03-01,42208,97356250,2910160,2143672.21,2276522.237,268566.3823,1412556.42,258597.6557,1208813.755,17338.0383,140041.7251,7694.5469,109998.544,21955.5684,6790.9206,24743.446,0,4012.3304,14113.7077,116,156,10591,10401,10707,10557,119064737,124221096,1670372422,11630634,9261408,418897507,180503041,102815528,27504768,151671988,1510817704
외도동,2018-04-01,41487,88844750,2655016,1996132.073,2133808.995,277571.825,1234043.829,256475.9982,1128804.761,20638.8116,222162.2616,7446.2733,140023.5419,20255.9345,11825.7148,25348.5374,15.3765,2019.4448,15759.6455,119,158,10641,10400,10760,10558,115007298,112918765,1681382363,14892991,4438208,444613906,153093872,94314982,30174160,142389695,1453568464
외도동,2018-05-01,46513,94064300,2810329,2089952.325,2212818.893,265217.8601,1280147.796,227925.3476,1187097.622,14360.6549,202894.6785,17666.4563,139185.3113,25329.765,9997.057,24207.258,0,3152.6746,15144.8325,126,158,10659,10412,10785,10570,134894142,127822123,1830537306,14111273,11776545,455996556,188960211,110112016,28935720,158471531,1617589297
외도동,2018-06-01,50174,100357550,2998174,2025640.616,2166811.413,259048.0396,1238460.814,221108.9647,1087244.606,14882.7366,207498.9133,9167.0743,144669.8715,28433.949,9995.6434,20369.7911,0,2966.8593,13954.1572,131,160,10690,10455,10821,10615,120805995,108992208,1759148580,15559419,3145298,490445176,160911065,105813916,24677770,171830489,1531615276
외도동,2018-07-01,61048,124292900,3713470,2081194.327,2236814.789,296927.7926,1289906.564,294629.1411,1176205.108,29775.2614,205674.5047,4811.1682,135518.9328,21697.0494,11238.9166,29648.4272,0,2233.1285,23671.9271,130,161,10739,10493,10869,10654,127883681,145545833,1822617099,15540201,7305272,535611447,187783232,121452198,32771466,180470748,1630847754
외도동,2018-08-01,57730,115475450,3449943,2139064.382,2291485.049,317707.5024,1275523.647,282388.5787,1162577.483,20541.3579,176998.5539,5490.2834,112085.1421,30242.5268,14713.3284,20915.8476,0,1796.1843,19556.714,132,156,10806,10561,10938,10717,129500939,136322068,1727209992,18009269,7414446,580687366,183671670,119501143,34210982,189855339,1639438195
외도동,2018-09-01,53099,97489600,2911436,2028443.509,2153750.295,276624.7446,1224619.321,231862.0331,1126419.086,24808.6958,166906.9667,20512.201,128439.0046,25312.0818,10569.3195,28760.7494,0,1749.2795,18785.7641,130,158,10825,10590,10955,10748,140135371,182545799,1719794964,13834053,5961383,590470707,170971110,89935794,33232353,160831813,1485527900
외도동,2018-10-01,49457,93525200,2918915,2086841.452,2179530.7,232143.6242,1222786.271,219227.2915,1150759.987,14921.9214,209074.7135,7049.0023,153145.1265,28919.5271,6646.7356,28040.7999,0,2022.1862,28288.2514,129,160,10835,10605,10964,10765,127353158,107868442,1702211538,16989960,8438448,464092864,175159920,92278834,34666432,155163877,1611917826
외도동,2018-11-01,45494,94443250,2822052,1979209.815,2130468.688,230506.7699,1206617.623,223784.8342,1106107.05,24417.6763,222761.9553,6211.2679,126071.0802,37991.8374,8825.5704,22765.2846,0,429.245,21550.8146,125,166,10823,10615,10948,10781,123932891,110795966,1591530215,18519418,9937585,448839224,161243866,100952865,28919046,160622464,1597561081
외도동,2018-12-01,45089,101745450,3041154,2146783.579,2310804.98,262716.838,1288676.194,211888.442,1167253.776,24818.319,227872.525,10981.8955,138156.5387,38802.0002,8728.2271,22404.6692,0,339.8392,21564.8885,127,169,10825,10620,10952,10789,144830351,122567771,1764419478,23747938,6827219,469346663,189502735,131559029,25732474,205330688,1624370338
외도동,2019-01-01,43374,97317450,2908693,2206440.877,2387195.279,325030.852,1237408.502,263985.4962,1134268.249,18027.4655,169615.4623,5487.9888,127076.3497,34484.8547,7099.3418,38113.5824,0,0,18320.6642,128,171,10842,10601,10970,10772,127470539,157678832,1688123131,34050159,4982718,512385280,189824655,95688030,35567070,194406839,1636607530
